,,OFF,,OFF,,OFF,,OFF,,OFF,,05,81,OFF,,05,81,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"Londono Cano, Juan  (286233) D, P",13,32,13,32,13,32,13,32,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,32,13,32,13,32,OFF,,OFF,,OFF,,05,32,05,32,05,32,OFF,,OFF,,OFF,,OFF,,OFF,,13,32
,,L,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,y,,,,,,,,,,,,,,,,
,"Long, Ryan  (597147) D, E, MAX",05,53,05,53,05,53,05,RC2,OFF,,OFF,,05,56,05,56,05,56,05,56,05,57,OFF,,05,43,OFF,,05,52,05,53,05,53,05,53,05,53,OFF,,05,32,05,56,05,56,05,56,05,56,05,35,OFF,,OFF,,OFF,,OFF,,OFF,
,"Looper, David  (84970) D, L",OFF,,OFF,,OFF,,05,60,05,60,05,61,05,62,OFF,,OFF,,05,72,05,72,05,72,05,72,05,62,05,81,05,73,05,72,05,60,05,60,05,60,05,61,OFF,,OFF,,05,93,05,72,05,72,05,72,05,72,05,15,13,73,OFF,
,"Lowe, Anna-Sophia  (707961) A, D, Ops",OFF,,OFF,,05,A1,OFF,,05,A1,05,A2,05,04,OFF,,OFF,,OFF,,13,A1,13,C5,13,A1,13,A2,OFF,,OFF,,05,27,05,A2,05,RC2,05,A3,05,A2,OFF,,13,C5,OFF,,OFF,,OFF,,13,A1,13,A6,13,A6,OFF,,OFF,
,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Lowe, Garry  (816419) D",OFF,,OFF,,05,06,05,RC2,05,06,05,09,05,09,OFF,,OFF,,05,06,05,06,05,06,05,06,OFF,,OFF,,OFF,,05,06,05,06,05,06,05,06,05,09,OFF,,OFF,,OFF,,05,06,05,06,05,06,05,06,OFF,,OFF,,OFF,
,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,
,"Lowry, Matt  (750539) D, E, J, L",OFF,,OFF,,13,80,13,77,13,49,13,RC2,13,73,13,48,13,94,13,82,13,48,13,52,13,52,13,77,13,73,OFF,,13,27,13,61,13,79,13,76,13,73,OFF,,OFF,,OFF,,13,82,13,52,13,82,13,82,OFF,,13,73,13,73
,,,,,,L,S,L,V,L,V,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,
,"Lum, Matthew  (806445) D, P",13,40,13,14,13,17,13,39,13,39,13,RC2,13,39,13,66,OFF,,OFF,,13,30,13,30,13,30,13,33,13,38,13,10,13,09,13,37,13,39,13,39,13,66,13,68,08,95,OFF,,13,44,13,30,13,30,13,30,13,38,OFF,,13,93
,"Maccarone , Joe  (526600) D, E, MAX",OFF,,05,52,05,49,OFF,,05,50,OFF,,05,52,05,49,05,49,05,49,05,49,05,49,05,49,05,49,05,49,05,49,OFF,,OFF,,05,56,05,49,05,53,OFF,,05,49,05,49,05,58,05,49,05,49,OFF,,OFF,,OFF,,05,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,,,L,V,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,49,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,
,"Marticek, Mike  (507947) A, D, J, L, MAXPAY, S",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,A1,21,A1,21,A1,21,A1,21,RC2,21,A1,21,A1,21,A1,21,83,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,A1,21,A1,21,A1
,,,,,,,,,,,,,,,,,,,,,,,,,,L,f,L,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Martin, Randall  (223466) D, L",13,76,13,77,13,77,13,77,13,97,13,72,13,45,13,83,13,39,13,39,13,82,OFF,,OFF,,13,06,OFF,,13,40,13,81,13,40,13,62,OFF,,OFF,,13,94,13,73,13,60,13,73,13,39,13,35,OFF,,13,83,13,30,13,40
,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,
,"Martin, Richard  (109405) D, E, J, P",13,52,13,52,13,RC2,13,55,OFF,,OFF,,OFF,,13,57,13,57,13,57,13,57,13,57,OFF,,OFF,,13,52,13,52,13,52,13,52,13,95,OFF,,OFF,,OFF,,OFF,,13,57,13,57,13,57,13,57,OFF,,OFF,,13,52,13,52
,"Martinez, Jessica  (215408) D, L",OFF,,05,17,05,17,05,17,05,17,05,81,OFF,,OFF,,OFF,,05,38,05,38,05,38,05,38,OFF,,OFF,,OFF,,05,17,05,17,05,17,05,RC2,OFF,,05,43,OFF,,OFF,,05,38,05,38,05,38,05,38,05,33,05,81,05,32
,,,,,,L,A,L,J,,,L,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Martinez, Kimberly Rangel  (740599) D",OFF,,OFF,,05,30,05,30,05,30,05,33,OFF,,05,41,OFF,,OFF,,05,RC2,05,39,05,39,OFF,,OFF,,OFF,,OFF,,05,30,05,30,05,30,05,33,OFF,,OFF,,OFF,,OFF,,05,39,05,39,05,39,05,39,OFF,,OFF,
,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Martinson, Jeff  (655245) A, D, MAXPAY, Ops, S",OFF,,OFF,,21,RC2,21,C10,21,C10,21,C10,OFF,,21,C10,OFF,,OFF,,21,A1,21,C4,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,C10,21,C10,21,C10,21,S1,21,A1,21,A1,OFF,,21,C10,21,C10,OFF,,21,C10,OFF,
Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"Martinson, Mark   (488830) D, E, P",21,67,21,67,21,RC2,21,66,OFF,,OFF,,OFF,,21,67,21,67,21,67,OFF,,OFF,,21,53,OFF,,OFF,,21,67,21,55,21,67,OFF,,21,50,21,43,OFF,,21,67,21,67,21,65,OFF,,OFF,,OFF,,OFF,,21,67,21,67
,"Maslankowski, Gary  (624223) D, L",OFF,,OFF,,OFF,,OFF,,21,62,21,63,OFF,,OFF,,OFF,,21,RC2,21,62,21,62,21,62,21,74,21,62,OFF,,21,63,21,62,21,62,21,62,21,63,OFF,,OFF,,21,82,21,62,21,62,21,62,21,62,21,74,OFF,,OFF,
,,,,,,,,,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Matey, Joel  (730277) D, E, J, L, P",05,17,05,42,OFF,,05,65,05,66,OFF,,OFF,,OFF,,OFF,,05,42,05,42,05,42,05,42,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,06,05,41,OFF,,05,42,05,42,05,42,05,42,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mathew, Nyson A (741530) D, E, J, L",13,28,13,28,13,80,13,28,13,40,13,93,21,77,OFF,,13,53,13,48,13,56,13,40,13,38,13,39,06,15,13,28,13,28,13,28,13,RC2,08,19,13,09,13,83,16,95,13,40,13,40,13,49,13,40,OFF,,OFF,,OFF,,13,28
,"Matos, Jose  (272110) D, E, J, L",OFF,,OFF,,OFF,,07,,07,,07,,OFF,,OFF,,OFF,,OFF,,07,,07,,07,,OFF,,OFF,,OFF,,OFF,,07,,07,,13,RC2,07,,OFF,,OFF,,05,75,OFF,,07,,10,,10,,13,66,OFF,,13,83
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,07,,07,,07,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,L,x,L,x,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Matthews, John  (624240) D, E, P",OFF,,05,55,OFF,,05,48,OFF,,05,48,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,65,05,65,OFF,,OFF,,21,04,OFF,,OFF,,OFF,,05,48,05,49,05,24,OFF,,OFF,,OFF,,05,65,05,65,OFF,,05,57,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Matthews, Kevin  (595335) D, E",OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mayall, Silas  (597168) D, L",21,63,21,63,21,63,21,63,21,63,21,72,21,77,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,63,21,63,21,63,21,RC2,21,63,21,63,21,63,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,63,21,63,21,63
,,,,,,,,,,,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V
,"Maynard, Scott  (514350) D, P",OFF,,OFF,,05,64,05,64,05,64,05,65,OFF,,OFF,,OFF,,OFF,,13,64,13,64,13,64,13,65,OFF,,OFF,,OFF,,05,64,05,64,05,64,05,RC2,OFF,,OFF,,OFF,,13,65,13,64,13,64,13,64,13,65,OFF,,OFF,
,"McArtor, Trenton  (112388) D, I, MAXPAY, Ops, R",OFF,,OFF,,05,R1,05,R1,OFF,,05,RC2,OFF,,OFF,,05,C6,05,R1,05,R1,05,R1,05,I1,OFF,,OFF,,OFF,,OFF,,05,I1,05,R1,05,R1,05,I1,OFF,,OFF,,OFF,,OFF,,05,R1,OFF,,05,I1,05,I2,OFF,,OFF,
,,,,,,L,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,
,"McBrayer, Greg  (450409) D, MAXX, S",13,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,26,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,08,OFF,,05,RC2,OFF,,OFF,,OFF,,OFF,,05,07,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,L,V,,,,,,,,,,,,,L,A,,,,,,,,,,,,,,,L,A,,,,,,,,,,,,,L,A,,,,,,,,,,,,,,,,
,"McCall, Matthew  (773946) D, E, L",21,21,21,62,21,RC2,OFF,,OFF,,OFF,,21,54,21,21,21,21,21,82,21,54,OFF,,OFF,,21,72,21,21,21,77,21,50,21,23,21,13,21,09,OFF,,OFF,,21,74,OFF,,21,53,21,49,OFF,,13,55,OFF,,21,58,21,53
,"McClelland, Lonnie  (59683) D",OFF,,OFF,,OFF,,05,15,05,15,05,15,OFF,,OFF,,OFF,,OFF,,05,15,OFF,,05,15,OFF,,OFF,,05,44,OFF,,OFF,,05,15,05,15,05,15,OFF,,05,39,05,34,05,29,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"McCoy, Curtis  (210122) D, E, Ops",05,C9,OFF,,OFF,,OFF,,05,32,05,32,05,32,OFF,,13,36,OFF,,05,43,05,43,05,C10,05,C10,05,C9,05,25,OFF,,05,01,05,16,05,RC2,05,C1,05,32,05,33,05,59,OFF,,05,43,05,43,05,43,05,43,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,L,A,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,
Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"McCoy, Curtis  (210122) D, E, Ops",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"McCutcheon, Greg  (788520) D, L",05,72,OFF,,OFF,,05,31,05,31,05,31,05,33,OFF,,OFF,,05,41,05,42,05,03,05,03,05,03,05,03,05,33,OFF,,05,73,05,RC2,05,31,05,31,OFF,,OFF,,OFF,,05,36,05,15,05,03,05,03,05,03,05,03,13,09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"McDonald, Dustin  (628679) A, D, E, P",OFF,,21,,OFF,,09,,13,49,13,44,13,49,13,A1,OFF,,09,,OFF,,05,57,05,57,05,RC2,05,57,17,,10,,13,,OFF,,13,57,13,A3,13,A1,13,A3,OFF,,OFF,,OFF,,05,57,05,RCP,05,57,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,09,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"McEuen, John  (203615) D",21,04,21,04,21,02,21,19,21,RC2,21,47,21,09,21,04,21,04,21,11,21,33,21,19,21,19,21,04,21,04,21,04,21,04,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,07,06,05,46,21,04
,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"McGinley, Jessica  (743321) D, E, P",13,42,13,42,13,26,13,26,13,26,13,26,13,42,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,RC2,13,42,13,42,OFF,,OFF,,13,15,13,26,13,26,13,39,13,09,OFF,,OFF,,OFF,,OFF,,13,45,13,42,13,42,13,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"McGovern, Mike  (536159) D, E, P",OFF,,OFF,,21,RC2,21,51,21,51,21,51,OFF,,OFF,,OFF,,OFF,,21,51,21,51,21,51,21,51,OFF,,OFF,,OFF,,21,51,21,51,21,51,21,51,OFF,,OFF,,OFF,,OFF,,21,51,21,51,21,51,21,RCP,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"McGowan, Neil  (736108) D, L",21,45,21,23,21,47,21,15,21,04,21,15,OFF,,OFF,,21,23,21,47,21,35,21,04,21,13,OFF,,21,23,21,47,21,RC2,21,31,21,95,21,94,OFF,,OFF,,OFF,,OFF,,21,13,21,33,21,33,21,09,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,,,,,,,,
,"McKee, Blake  (159542) D",05,30,05,30,OFF,,OFF,,OFF,,05,30,05,30,05,30,05,30,OFF,,OFF,,OFF,,OFF,,05,30,05,30,05,30,05,RC2,OFF,,OFF,,OFF,,05,30,05,30,05,30,05,30,OFF,,OFF,,OFF,,OFF,,05,30,05,30,05,30
,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"McLaren, Jeff  (310774) A, D, I, MAXPAY, Ops",13,I1,13,I2,13,A6,OFF,,OFF,,13,A5,13,A5,13,A5,13,A5,13,A5,OFF,,OFF,,OFF,,OFF,,13,I1,13,I1,13,A5,13,RC2,OFF,,OFF,,OFF,,13,A5,13,A5,13,A5,13,A5,OFF,,OFF,,OFF,,OFF,,13,I1,13,I1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,
,"McMahon, Rachael  (526153) A, D, I, MAXPAY, Ops",05,C6,05,C6,05,I1,05,I1,OFF,,OFF,,OFF,,05,C3,05,I1,05,C3,05,RC2,OFF,,05,C9,OFF,,05,C6,05,I1,05,C6,05,C6,05,,05,,05,,OFF,,05,I1,05,I1,05,I2,05,C3,OFF,,OFF,,OFF,,OFF,,05,I2
,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,J,L,J,L,J,L,J,,,,,,,,,,,,,,,,,,,,
,"Mealie, Joseph  (445983) D, L",OFF,,OFF,,07,,07,,07,,07,,07,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
,"Mealie, Mike  (624224) D",05,12,05,12,05,12,05,RC2,OFF,,OFF,,OFF,,05,12,05,12,05,12,05,12,OFF,,OFF,,OFF,,OFF,,OFF,,05,12,05,12,05,12,OFF,,05,40,OFF,,05,12,05,12,05,12,05,12,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meek, Jaime  (31861) D",13,16,13,39,13,04,OFF,,OFF,,13,25,13,32,13,32,OFF,,05,08,05,43,OFF,,OFF,,OFF,,OFF,,05,46,05,45,05,13,05,RC2,05,20,05,38,OFF,,OFF,,OFF,,OFF,,OFF,,05,31,05,37,05,17,05,45,05,47
Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"Mercer, Steven  (741551) D, E, J, L, P",13,,OFF,,OFF,,OFF,,OFF,,OFF,,13,01,13,55,13,55,13,01,OFF,,OFF,,13,43,13,50,13,44,13,43,OFF,,13,42,13,RC2,13,77,13,42,OFF,,OFF,,OFF,,OFF,,OFF,,13,46,13,11,13,44,13,38,13,35
,,L,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,L,S,,,,
,"Meyer, Daniel  (260357) D",OFF,,OFF,,OFF,,OFF,,13,03,13,03,13,03,13,03,OFF,,OFF,,OFF,,13,31,13,31,13,31,13,33,OFF,,OFF,,OFF,,OFF,,13,RC2,13,03,13,03,13,03,OFF,,OFF,,OFF,,13,31,13,31,13,31,13,33,OFF,
,,,,,,,,,,L,m,L,m,L,m,L,m,,,,,,,L,m,L,m,L,m,L,m,,,,,,,,,L,m,L,m,L,m,L,m,,,,,,,L,m,L,m,L,m,L,m,,
,"Miller, Nicholas  (222768) D, L",05,16,05,81,05,76,05,13,OFF,,OFF,,OFF,,OFF,,05,17,05,17,05,17,05,17,OFF,,OFF,,OFF,,05,16,05,16,05,16,05,RC2,05,17,05,36,OFF,,OFF,,05,17,05,17,05,17,05,17,OFF,,OFF,,OFF,,05,16
,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V
,"Mills, Ryan  (260455) NO QUALIFICATIONS",OFF,,21,OJT,21,OJT,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,,OFF,,13,OJT,13,OJT,OFF,,05,OJT,05,OJT
,"Mitchell, James  (109499) D, E, MAX",OFF,,OFF,,13,33,OFF,,13,47,13,34,13,55,OFF,,OFF,,05,53,OFF,,05,50,05,23,05,55,05,55,OFF,,13,55,13,19,13,97,OFF,,13,50,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mitchell, Kristi  (560296) D, E, MAX",OFF,,OFF,,OFF,,05,53,05,49,05,54,05,55,OFF,,OFF,,13,55,13,22,OFF,,13,50,OFF,,OFF,,OFF,,OFF,,OFF,,05,48,05,53,05,54,05,55,05,55,05,55,OFF,,OFF,,OFF,,13,55,13,58,13,58,13,55
,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,L,F,L,F,L,F,L,F
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Moll, Ben  (864908) D, E, J",13,17,13,37,13,07,OFF,,OFF,,13,08,13,40,13,42,13,28,13,44,13,55,13,26,OFF,,OFF,,OFF,,13,17,OFF,,OFF,,OFF,,13,12,13,15,13,06,13,57,13,28,13,27,13,94,13,45,13,09,13,16,13,20,13,17
,,,,,,,,,,,,L,A,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Moore, Andrew  (200540) D",05,31,05,31,05,31,OFF,,OFF,,OFF,,05,31,05,31,05,31,05,RC2,OFF,,OFF,,OFF,,05,31,05,31,05,31,05,31,05,31,OFF,,OFF,,OFF,,05,31,05,31,05,31,05,31,OFF,,OFF,,OFF,,05,21,05,31,05,31
,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Moore, Julie  (750512) D",05,02,OFF,,05,02,OFF,,OFF,,OFF,,05,02,05,02,05,02,05,RC2,OFF,,OFF,,OFF,,05,19,05,02,05,02,05,02,05,02,OFF,,OFF,,OFF,,05,02,05,02,05,02,05,02,OFF,,OFF,,OFF,,05,24,05,02,05,02
